,Facility Id,FRS Id,Facility Name,City,State,Latitude,Longitude,Total reported emissions,CO2 emissions,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,SF6 emissions,Subpart Letter,Name of industry,Facility Type
55,1004848,110020669463,BRISTOL INTEGRATED SOLID WASTE MANAGEMENT FACILITY,BRISTOL,VA,36.603075,-82.153334,10383.5,,10383.5,,,HH,Municipal Landfills,Direct Emitter
56,1007712,110013866236,BROKEN ARROW LANDFLL,BROKEN ARROW,OK,36.0851,-95.7328,4742.5,,4742.5,,,HH,Municipal Landfills,Direct Emitter
57,1004533,110034167069,BROOKINGS CITY LANDFILL,BROOKINGS,SD,44.301056,-96.790687,39034.5,,39034.5,,,HH,Municipal Landfills,Direct Emitter
58,1003543,110001738861,BROWARD COUNTY LANDFILL,FORT LAUDERDALE,FL,26.03089,-80.42299,39602.25,,39602.25,,,HH,Municipal Landfills,Direct Emitter
59,1005056,110041438708,BROWN COUNTY LANDFILL,ABERDEEN,SD,45.464865,-98.487225,54521.5,,54521.5,,,HH,Municipal Landfills,Direct Emitter
60,1004415,110012625221,"BRUNDIDGE LANDFILL, LLC",BRUNDIDGE,AL,31.7003,-85.8433,43959.25,,43959.25,,,HH,Municipal Landfills,Direct Emitter
61,1006221,110017973291,BUENA VISTA DRIVE SANITARY LANDFILL,WATSONVILLE,CA,36.91657,-121.81525,18656.25,,18656.25,,,HH,Municipal Landfills,Direct Emitter
62,1001775,110009853578,BUNCOMBE COUNTY NEW LANDFILL,ALEXANDER,NC,35.7265,-82.6356,68755.5,,68755.5,,,HH,Municipal Landfills,Direct Emitter
63,1004355,110042557890,BUTLER COUNTY LANDFILL,POPLAR BLUFF,MO,36.88588,-90.3113,36824.25,,36824.25,,,HH,Municipal Landfills,Direct Emitter
64,1012394,110071162485,Baker Pl Rd Landfill,Grovetown,GA,33.48929,-82.24489,24406.75,,24406.75,,,HH,Municipal Landfills,Direct Emitter
65,1013587,110060427765,Beatrice Area Solid Waste Agency,Beatrice,NE,40.219351,-96.768673,25895.25,,25895.25,,,HH,Municipal Landfills,Direct Emitter
66,1002901,110001749332,Bee Ridge Landfill,Sarasota,FL,27.29864,-82.39811,40070.25,,40070.25,,,HH,Municipal Landfills,Direct Emitter
67,1006218,110013967047,Billy Wright Landfill,Los Banos,CA,37.0388,-120.9729,44070.5,,44070.5,,,HH,Municipal Landfills,Direct Emitter
68,1011455,110071160039,Blossom Prairie Landfill,Blossom,TX,33.599578,-95.33954,74433.0,,74433.0,,,HH,Municipal Landfills,Direct Emitter
69,1014061,110071198524,Bondad Recycling Center and Depository,Durango,CO,37.051581,-107.865912,38503.5,,38503.5,,,HH,Municipal Landfills,Direct Emitter
70,1011956,110013926528,Boone County Sanitary Landfill,Boone,IA,42.02993,-93.91905,47094.25,,47094.25,,,HH,Municipal Landfills,Direct Emitter
71,1004808,110001861771,Bordeaux Landfill,Nashville,TN,36.175395,-86.843523,52871.5,,52871.5,,,HH,Municipal Landfills,Direct Emitter
72,1005892,110001427304,Broadhurst Environmental Landfill,Screven,GA,31.4847,-81.9898,89483.75,,89483.75,,,HH,Municipal Landfills,Direct Emitter
73,1004884,110043813969,Brownsville Municipal Landfill,Brownsville,TX,25.938869,-97.395248,116751.75,,116751.75,,,HH,Municipal Landfills,Direct Emitter
74,1005893,110013959458,C & T REGIONAL LANDFILL,LINN,TX,26.5774,-98.1854,2826.25,,2826.25,,,HH,Municipal Landfills,Direct Emitter
75,1007780,110030493375,CAMELOT LANDFILL,LEWISVILLE,TX,33.043321,-96.945276,106806.5,,106806.5,,,HH,Municipal Landfills,Direct Emitter
76,1003621,110018859458,CANADIAN VALLEY LANDFILL,SHAWNEE,OK,35.347587,-96.803468,4846.5,,4846.5,,,HH,Municipal Landfills,Direct Emitter
77,1006544,110016791480,"CANTON, CITY OF, CANTON SANITARY LANDFILL",CANTON,MS,32.59695,-90.066397,38030.75,,38030.75,,,HH,Municipal Landfills,Direct Emitter
78,1003466,110014015715,CAVE CREEK MSW LANDFILL,CAVE CREEK,AZ,33.799979,-111.992472,19615.25,,19615.25,,,HH,Municipal Landfills,Direct Emitter
79,1005820,110071161796,CENTERPOINT LANDFILL,CENTERPOINT,IN,39.476964,-86.992178,21769.0,,21769.0,,,HH,Municipal Landfills,Direct Emitter
80,1005313,110042374720,CENTRAL MAUI LANDFILL REFUSE & RECYCLING CENTER,PUUNENE,HI,20.772523,-156.327405,53209.75,,53209.75,,,HH,Municipal Landfills,Direct Emitter
81,1003514,110071161843,CENTRAL MISSOURI LANDFILL,Sedalia,MO,38.72171,-93.289139,115569.5,,115569.5,,,HH,Municipal Landfills,Direct Emitter
82,1005295,110060497298,CENTRAL SANITARY LANDFILL,NEWARK,MD,38.224046,-75.341031,112063.0,,112063.0,,,HH,Municipal Landfills,Direct Emitter
83,1003509,110007057460,CHAIN OF ROCKS RECYCLING & DISPOSAL,GRANITE CITY,IL,38.753635,-90.158264,1361.25,,1361.25,,,HH,Municipal Landfills,Direct Emitter
84,1000217,110002225976,"CHAMBERS OF MISSISSIPPI INC, CLEARVIEW ENVIRONMENTAL CONTROL FACILITY LANDFILL",LAKE,MS,32.226346,-89.372269,53244.0,,53244.0,,,HH,Municipal Landfills,Direct Emitter
85,1007813,110034132686,CHASTANG SANITARY LANDFILL,MOUNT VERNON,AL,31.0451,-88.0357,14076.5,,14076.5,,,HH,Municipal Landfills,Direct Emitter
86,1005583,110071036262,CHEYENNE LANDFILL,CHEYENNE,WY,41.14614,-105.00941,67135.0,,67135.0,,,HH,Municipal Landfills,Direct Emitter
87,1002992,110001154660,CHIQUITA CANYON SLF,CASTAIC,CA,34.42806,-118.64661,175833.25,,175833.25,,,HH,Municipal Landfills,Direct Emitter
88,1010378,110007044215,CHOCTAW ROAD LANDFILL,FRANKLINTON,LA,30.8439,-90.0443,44601.0,,44601.0,,,HH,Municipal Landfills,Direct Emitter
89,1002232,110071161958,CHRIN BROTHERS LANDFILL,EASTON,PA,40.663618,-75.231488,69673.75,,69673.75,,,HH,Municipal Landfills,Direct Emitter
90,1003957,110070890904,CITRUS CO CENTRAL LANDFILL,LECANTO,FL,28.93,-82.49,104463.25,,104463.25,,,HH,Municipal Landfills,Direct Emitter
91,1007708,110014055501,CITY & COUNTY OF HONOLULU - WAIMANALO GULCH MSWLF,KAPOLEI,HI,21.344189,-158.117664,52420.0,,52420.0,,,HH,Municipal Landfills,Direct Emitter
92,1005594,110060422760,CITY OF ALBEMARLE LANDFILL,ALBEMARLE,NC,35.3173,-80.1658,60786.25,,60786.25,,,HH,Municipal Landfills,Direct Emitter
93,1006350,110030747654,CITY OF AMARILLO LANDFILL,AMARILLO,TX,35.22585,-102.01932,108133.0,,108133.0,,,HH,Municipal Landfills,Direct Emitter
94,1002757,110071161695,CITY OF BATON ROUGE/EBRP RENEWABLE ENERGY CENTER,BATON ROUGE,LA,30.55192,-91.19755,55964.5,,55964.5,,,HH,Municipal Landfills,Direct Emitter
